job_title,salary_in_usd
Data Scientist,212000
Data Scientist,93300
Data Scientist,130000
Data Scientist,100000
Data Scientist,43064
Data Scientist,36912
Data Analyst,95000
Data Analyst,75000
Data Scientist,300000
Data Scientist,234000
Data Analyst,155000
Data Analyst,110000
Data Analyst,176000
Data Analyst,100000
Data Scientist,223400
Data Scientist,186200
Data Scientist,185900
Data Scientist,129300
Data Analyst,100000
Data Analyst,75000
Data Analyst,90000
Data Analyst,70000
Data Scientist,235750
Data Scientist,174250
Data Scientist,220000
Data Scientist,150000
Data Scientist,150000
Data Scientist,100000
Data Scientist,130000
Data Scientist,117000
Data Scientist,166000
Data Scientist,73000
Data Scientist,185900
Data Scientist,129300
Data Scientist,253000
Data Scientist,131000
Data Scientist,210000
Data Scientist,147000
Data Analyst,137000
Data Analyst,110000
Data Scientist,172000
Data Scientist,146000
Data Scientist,150000
Data Scientist,130000
Data Analyst,105000
Data Scientist,43187
Data Scientist,31310
Data Analyst,92280
Data Analyst,67672
Data Analyst,92280
Data Analyst,67672
Data Scientist,75577
Data Scientist,224800
Data Scientist,131100
Data Scientist,258000
Data Scientist,171000
Data Scientist,220000
Data Scientist,160000
Data Scientist,85000
Data Scientist,65000
Data Scientist,185000
Data Scientist,152000
Data Scientist,48585
Data Scientist,38868
Data Analyst,110000
Data Analyst,80000
Data Analyst,36912
Data Scientist,150200
Data Scientist,71000
Data Scientist,135000
Data Scientist,110000
Data Scientist,187415
Data Scientist,114080
Data Scientist,187415
Data Scientist,114080
Data Scientist,187415
Data Scientist,114080
Data Analyst,32974
Data Analyst,32974
Data Analyst,165000
Data Analyst,140000
Data Analyst,167000
Data Analyst,121000
Data Scientist,190200
Data Scientist,95100
Data Analyst,133000
Data Analyst,58400
Data Scientist,166000
Data Scientist,73100
Data Analyst,163800
Data Analyst,88200
Data Analyst,180400
Data Analyst,138800
Data Analyst,67672
Data Analyst,55368
Data Scientist,215000
Data Scientist,142000
Data Scientist,266000
Data Scientist,167000
Data Analyst,140130
Data Analyst,84870
Data Scientist,150000
Data Scientist,247600
Data Scientist,127300
Data Scientist,60000
Data Scientist,55000
Data Scientist,202600
Data Scientist,168800
Data Scientist,203000
Data Scientist,127000
Data Analyst,112200
Data Analyst,91800
Data Scientist,133000
Data Scientist,58300
Data Scientist,130500
Data Scientist,116000
Data Analyst,166000
Data Analyst,73100
Data Analyst,150000
Data Analyst,120000
Data Scientist,208500
Data Scientist,165000
Data Scientist,258700
Data Scientist,172500
Data Analyst,166000
Data Analyst,73100
Data Scientist,166000
Data Scientist,73100
Data Analyst,170000
Data Analyst,145000
Data Scientist,212000
Data Scientist,93300
Data Scientist,188000
Data Scientist,139000
Data Scientist,150000
Data Scientist,188000
Data Scientist,139000
Data Scientist,158500
Data Scientist,115000
Data Analyst,83000
Data Analyst,66000
Data Scientist,224250
Data Scientist,121550
Data Scientist,166000
Data Scientist,73100
Data Scientist,205400
Data Scientist,92900
Data Scientist,160000
Data Scientist,110000
Data Scientist,242000
Data Scientist,106200
Data Scientist,220000
Data Scientist,120000
Data Scientist,258000
Data Scientist,171000
Data Scientist,192000
Data Scientist,178000
Data Scientist,180000
Data Scientist,135000
Data Scientist,200000
Data Scientist,120000
Data Analyst,125000
Data Analyst,100000
Data Scientist,210400
Data Scientist,170500
Data Scientist,212000
Data Scientist,93300
Data Scientist,185400
Data Scientist,81536
Data Analyst,193000
Data Analyst,158000
Data Analyst,95000
Data Analyst,75000
Data Analyst,115000
Data Analyst,105000
Data Analyst,90000
Data Analyst,80000
Data Analyst,192500
Data Analyst,140000
Data Analyst,150000
Data Analyst,120000
Data Scientist,166000
Data Scientist,73100
Data Scientist,166000
Data Scientist,73100
Data Scientist,212000
Data Scientist,93300
Data Scientist,172256
Data Scientist,123040
Data Scientist,219000
Data Scientist,132000
Data Scientist,130500
Data Scientist,116000
Data Scientist,136000
Data Scientist,91000
Data Scientist,185900
Data Scientist,129300
Data Analyst,143000
Data Analyst,78000
Data Scientist,135000
Data Scientist,110000
Data Scientist,137500
Data Scientist,81500
Data Scientist,140000
Data Scientist,125000
Data Scientist,170625
Data Scientist,127950
Data Scientist,123040
Data Scientist,86128
Data Analyst,85256
Data Analyst,71615
Data Scientist,100000
Data Scientist,225000
Data Scientist,170000
Data Scientist,135000
Data Scientist,100000
Data Scientist,297300
Data Scientist,198200
Data Analyst,59000
Data Analyst,50000
Data Scientist,64781
Data Scientist,57223
Data Analyst,135000
Data Analyst,120000
Data Scientist,280000
Data Scientist,190000
Data Scientist,212000
Data Scientist,93300
Data Analyst,145640
Data Analyst,84400
Data Analyst,105000
Data Analyst,75000
Data Analyst,140000
Data Analyst,98000
Data Scientist,236160
Data Scientist,159408
Data Analyst,115000
Data Analyst,85000
Data Analyst,120350
Data Analyst,74400
Data Analyst,158494
Data Analyst,88052
Data Scientist,258000
Data Scientist,171000
Data Scientist,200000
Data Scientist,150000
Data Scientist,130410
Data Scientist,92000
Data Scientist,183900
Data Scientist,108800
Data Scientist,166000
Data Scientist,73100
Data Scientist,231250
Data Scientist,111000
Data Analyst,180400
Data Analyst,138800
Data Scientist,258700
Data Scientist,172500
Data Scientist,156100
Data Scientist,100400
Data Analyst,134200
Data Analyst,103200
Data Analyst,105000
Data Analyst,85000
